Team 1,Team 2,Game Status,Venue,Time
Aston Villa,Aston VillaLiverpool,,"Villa Park, Birmingham, England",12:00 AM
Barcelona,BarcelonaReal Sociedad,,"Estadi Olímpic Lluís Companys, Barcelona, Spain",12:00 AM
Lecce,LecceUdinese,,"Stadio Ettore Giardiniero - Via del Mare, Lecce, Italy",
Fiorentina,FiorentinaMonza,,"Artemio Franchi, Firenze, Italy",1:00 AM
Trinidad and Tobago,Trinidad and TobagoGuyana,,"Hasely Crawford Stadium, Port of Spain, Trinidad and Tobago",7:00 AM
Club Brugge,Club BruggeUnion St.-Gilloise,,"Jan Breydelstadion, Brugge, Belgium",1:120 AM
NAC Breda,NAC BredaRoda JC Kerkrade,1st Leg,"Rat Verlegh Stadion, Breda, Netherlands",1:00 AM
IFK,IFKMalmo FF,,"Gamla Ullevi, Göteborg, Sweden",
FC Farul Constanta,FC Farul ConstantaUniversitatea Craiova,,"Stadionul Central Academia Gheorghe Hagi, Ovidiu, Romania",
Gimnasia La Plata,Gimnasia La PlataVélez Sarsfield,,"Juan Carmelo Zerillo (El Bosque), La Plata, Argentina",6:00 AM
Unión (Santa Fe),Unión (Santa Fe)Banfield,,"15 de Abril, Santa Fé, Argentina",8:00 AM
Almagro,AlmagroEstudiantes de Río Cuarto,,"Tres de Febrero, Buenos Aires, Argentina",1:120 AM
All Boys,All BoysArsenal Sarandi,,"Islas Malvinas, Buenos Aires, Argentina",8:00 AM
Defensores de Belgrano,Defensores de BelgranoColón (Santa Fe),,"Juan Pasquale, Buenos Aires, Argentina",8:10 AM
Sacachispas,SacachispasDeportivo Laferrere,,"Beto Larrosa, Buenos Aires, Argentina",1:120 AM
Atlas,AtlasDeportivo Paraguayo,,"Ricardo Puga, General Rodriguez, Buenos Aires, Argentina",1:120 AM
Centro Español,Centro EspañolYupanqui,,"José Manuel Moreno, Merlo Partido, Argentina",1:120 AM
São Paulo,São PauloFluminense,,"MorumBIS, Sao Paulo, Brazil",7:00 AM
Internacional,InternacionalJuventude,,"Estadio Beira-Rio, Porto Alegre, Brazil",
Aparecidense,AparecidenseSão Bernardo,,"Annibal Batista de Toledo, Aparecida de Goiânia, Brazil",7:00 AM
Ypiranga,YpirangaFigueirense,,"Estádio Olímpico Colosso da Lagoa, Rio Grande do Sul, Brazil",
Unión La Calera,Unión La CaleraUniversidad de Chile,,"Estadio Municipal Nicolás Chahuán, La Calera, Chile",7:00 AM
Alianza Atlético,Alianza AtléticoCienciano del Cusco,,"Estadio Campeones del '36, Sullana, Peru",12:120 AM
Guarani,GuaraniGeneral Caballero JLM,,"Estadio Rogelio Livieres, Asunción, Paraguay",7:120 AM
Universidad Católica (Quito),Universidad Católica (Quito)Técnico Universitario,,"Estadio Olímpico Atahualpa, Quito, Ecuador",8:00 AM
Universitario de Vinto,Universitario de VintoRoyal Pari,,"Estadio Felix Capriles, Cochabamba, Bolivia",7:00 AM
Lamphun Warriors,Lamphun WarriorsUthai Thani,Full Time,"Mae Guang Stadium, Lamphun, Thailand",
Express,ExpressNEC FC,Full Time,"Mutesa II Wankulukuku Stadium, Kampala",
